COUNTRY_CODE|ITEM_MANUF_BRAND_CODE|ITEM_MANUF_BRAND_NAME|ACTIVE_FLAG|RefDataId|LoadDatetime|LastUpdatedDatetime
GBR|ABIS|ABIS|Y|20889|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ABLE|ABLEC|Y|20891|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ADAM|ADAMS ELECTRIC FIRE|Y|20915|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AKAS|AKASHI|Y|20959|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ALIE|ALIENWARE|Y|20977|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ACSO|ACOUSTIC SOLUTIONS|Y|20913|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AEG|AEG|Y|20937|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AKHT|AKHTER|Y|20961|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ASPN|ASPEN|Y|21425|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AGFA|AGFA|Y|20945|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AWB|AWB HEATMASTER|Y|21564|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ALTE|ALTEC LANSING|Y|20993|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|BEKO|BEKO|Y|21624|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ARMA|ARMANA|Y|21391|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AIWA|AIWA|Y|20955|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ALBA|ALBA|Y|20967|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|AMER|AMERICANA|Y|21011|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|ASTR|ASTRO|Y|21435|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|BRNN|BRANNAN|Y|21756|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|BUSH|BUSH|Y|21780|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
GBR|BADG|BADGER|Y|21574|2018-02-28 16:43:34.000000|2023-01-18 19:13:33.000000
